msa_code,msa_title,state,min_long,min_lat,max_long,max_lat,center_long,center_lat,radius
C3386,"Montgomery, AL MSA",Alabama,-86.921237,31.961601,-85.852625,32.769225,-86.386931,32.365413000000004,52303
C1930,"Daphne-Fairhope-Foley, AL MSA",Alabama,-88.037309,30.146561,-87.366591,31.319017,-87.70195,30.732788999999997,75930
C1382,"Birmingham-Hoover, AL MSA",Alabama,-87.636119,32.660117,-86.043865,34.260483,-86.839992,33.460300000000004,103643
C1150,"Anniston-Oxford-Jacksonville, AL MSA",Alabama,-86.146225,33.55593,-85.529432,33.96846,-85.8378285,33.762195,28532
C4674,"Valley, AL MicroSA",Alabama,-85.593653,32.72853,-85.122189,33.109038,-85.357921,32.918784,24642
C2146,"Enterprise, AL MicroSA",Alabama,-86.196365,31.182023,-85.789139,31.619311,-85.992752,31.400667,28319
C2252,"Florence-Muscle Shoals, AL MSA",Alabama,-88.202959,34.56623,-87.210759,35.008028,-87.70685900000001,34.787129,45897
C4518,"Talladega-Sylacauga, AL MicroSA",Alabama,-86.522283,32.753434,-85.794559,33.699495,-86.158421,33.2264645,61269
C1898,"Cullman, AL MicroSA",Alabama,-87.151036,33.857954,-86.451111,34.313799,-86.8010735,34.0858765,32377
C3712,"Ozark, AL MicroSA",Alabama,-85.791581,31.195173,-85.415334,31.620566,-85.60345749999999,31.4078695,27549
C4282,"Selma, AL MicroSA",Alabama,-87.47308,32.047202,-86.806867,32.729532,-87.1399735,32.388367,44189
C2346,"Gadsden, AL MSA",Alabama,-86.370152,33.841598,-85.737137,34.200756,-86.0536445,34.021176999999994,29282
C2002,"Dothan, AL MSA",Alabama,-86.193476,30.992859,-84.999428,31.774364,-85.596452,31.3836115,55235
C4622,"Tuscaloosa, AL MSA",Alabama,-88.340432,32.48068,-87.065738,33.609833,-87.703085,33.0452565,73126
C4246,"Scottsboro, AL MicroSA",Alabama,-86.359034,34.464473,-85.583145,34.991098,-85.9710895,34.727785499999996,35891
C1946,"Decatur, AL MSA",Alabama,-87.531024,34.299096,-86.54975,34.804992,-87.04038700000001,34.552043999999995,45392
C1222,"Auburn-Opelika, AL MSA",Alabama,-85.696955,32.40984,-85.00102,32.74653,-85.34898749999999,32.578185000000005,32193
C2662,"Huntsville, AL MSA",Alabama,-87.278636,34.475633,-86.255771,34.999024,-86.7672035,34.737328500000004,47316
C1070,"Albertville, AL MicroSA",Alabama,-86.581936,34.099073,-86.057712,34.600143,-86.319824,34.349608,32450
C3366,"Mobile, AL MSA",Alabama,-88.432007,30.144425,-87.923944,31.173306,-88.1779755,30.658865499999997,66632
C4598,"Troy, AL MicroSA",Alabama,-86.199408,31.616414,-85.657668,32.06189,-85.928538,31.839152,28850
